"site","box","year","fledged"
"DAV",4,2014,0
"DAV",4,2014,1
"DAV",4,2014,1
"DAV",4,2014,1
"DAV",4,2014,1
"DAV",4,2014,1
"DAV",4,2014,1
"DAV",4,2014,1
"DAV",5,2014,1
"DAV",5,2014,1
"DAV",5,2014,1
"DAV",5,2014,1
"DAV",5,2014,1
"DAV",5,2014,1
"DAV",5,2014,1
"DAV",5,2014,1
"DAV",6,2014,1
"DAV",6,2014,1
"DAV",6,2014,1
"DAV",6,2014,0
"DAV",6,2014,1
"DAV",6,2014,0
"DAV",6,2014,1
"DAV",6,2014,1
"DEL",2,2014,1
"DEL",2,2014,1
"DEL",2,2014,1
"DEL",2,2014,1
"DEL",2,2014,1
"DEL",2,2014,0
"DEL",2,2014,0
"DEL",2,2014,1
"DEL",3,2014,1
"DEL",3,2014,1
"DEL",3,2014,1
"DEL",3,2014,1
"DEL",3,2014,1
"DEL",3,2014,1
"DEL",3,2014,1
"DEL",3,2014,1
"DEL",3,2014,1
"DEL",4,2014,1
"DEL",4,2014,1
"DEL",4,2014,1
"DEL",4,2014,1
"DEL",4,2014,1
"DEL",4,2014,1
"DEL",4,2014,1
"DEL",4,2014,1
"DEL",5,2014,1
"DEL",5,2014,1
"DEL",5,2014,1
"DEL",5,2014,1
"DEL",5,2014,1
"DEL",5,2014,1
"DLW",4,2014,1
"DLW",4,2014,1
"DLW",4,2014,1
"DLW",4,2014,1
"DLW",4,2014,1
"DLW",4,2014,1
